protein_id_new	avg_log2OR	potential_type
FXR1|Full|621	1.934091985	known_m6A_reader
190-RBM41|Full|413	2.03536172	m6A_plus
304-U2AF2|Full|471	2.053191323	m6A_plus
IGF2BP3|Full|579	2.086057608	known_m6A_reader
198-RBM7|Full|266	2.107295857	m6A_plus
158-PTBP1|Full|531	2.436903997	m6A_plus
68-HNRNPK|Full|463	2.602782402	m6A_plus
159-PTBP2|Full|532	2.758530233	m6A_plus
IGF2BP2|Full|599	3.61931692	known_m6A_reader
YTHDF1|Full|559	4.28556345	known_m6A_reader
192-RBM45|Full|474	4.9735138	known_m6A_reader
YTHDF2|Full|579	5.1467881	known_m6A_reader
YTHDF3|Full|585	5.518771967	known_m6A_reader
YTH-DF3|yth-domain|195	5.746218674	known_m6A_reader
YTH-DF1|yth-domain|196	6.276830526	known_m6A_reader
YTH-DC1|yth-domain|163	6.327120984	known_m6A_reader
YTH-DF2|yth-domain|195	6.529087924	known_m6A_reader
YTH-DC2|yth-domain|143	6.793430847	known_m6A_reader
