protein_id_new	rep1_m6A_log2OR	rep2_m6A_log2OR
168-RBM15B|Full|418	-1.029146346	-1.152003093
183-RBM28|Full|759	-1	-1.217591435
32-DND1-2|Full|353	-1.689659879	-0.473931188
199-RBM8A|Full|174	-1.251538767	-0.915935735
185-RBM33|RBD|126	-1.089267338	-1.058893689
148-PNPT1-5|RBD|79	-1.286304185	-0.836501268
280-SUGP2-3|RBD|490	-0.888968688	-1.217591435
272-SRRT-3|RBD|199	-1.029146346	-1.058893689
310-UPF3B-1|RBD|115	-1	-1.089267338
65-HNRNPA2B1|Full|249	-1.888968688	-0.184424571
184-RBM3|Full|157	-1.058893689	-1.029146346
147-PNPT1-4|RBD|176	-1.029146346	-1.058893689
46-FUBP1-1|RBD|90	-1.395928676	-0.689659879
328-ZCCHC17|Full|241	-1.152003093	-0.915935735
7-AKAP1-1|RBD|264	-1.058893689	-1
271-SRRT-2|RBD|133	-1.029146346	-0.971430848
220-RPS3|Full|243	-1.286304185	-0.736965594
66-HNRNPAB|Full|285	-1.888968688	-0.104697379
241-SETD1B-3|RBD|148	-1.321928095	-0.689659879
105-MCM3AP|RBD|132	-1.59946207	-0.377069649
239-SETD1B-1|RBD|128	-1.120294234	-0.836501268
177-RBM23|Full|424	-0.888968688	-1.058893689
242-SETD1B-4|RBD|305	-1.358453971	-0.577766999
274-SRRT-5|RBD|727	-0.736965594	-1.217591435
225-SAFB2-1|RBD|221	-0.836501268	-1.058893689
140-PDCD11-1|RBD|224	-0.943416472	-0.971430848
52-FXR1-2|RBD|102	-0.785875195	-1.120294234
289-THUMPD3|Full|507	-1.089267338	-0.785875195
182-RBM27-4|RBD|64	-1.029146346	-0.836501268
125-NOVA2-3|RBD|191	-1.152003093	-0.713118852
38-EIF3B-2|RBD|561	-0.713118852	-1.152003093
334-ZFR2-1|RBD|153	-0.971430848	-0.862496476
64-HDLBP-2|RBD|131	-1.152003093	-0.689659879
8-AKAP1-3|RBD|141	-0.971430848	-0.862496476
316-YTHDF1-1|RBD|108	-0.888968688	-0.915935735
267-SPEN-2|RBD|595	-1.089267338	-0.713118852
214-RC3H1-3|RBD|64	-0.666576266	-1.120294234
265-SNRPG|Full|76	-0.915935735	-0.862496476
247-SFMBT2-2|RBD|136	-0.971430848	-0.785875195
215-RDM1|Full|261	-0.943416472	-0.836501268
236-SETD1A-3|RBD|155	-1.184424571	-0.577766999
143-PNO1|Full|252	-1.120294234	-0.64385619
216-RNF113A|Full|343	-1.058893689	-0.689659879
176-RBM22|Full|420	-0.888968688	-0.836501268
223-SAFB-2|RBD|68	-1.089267338	-0.64385619
317-YTHDF1-2|RBD|155	-0.943416472	-0.76121314
21-CNOT4-2|RBD|66	-0.713118852	-0.971430848
275-SRSF9|RBD|219	-1.152003093	-0.535331733
58-GAPDH|Full|335	-1.888968688	0.22650853
206-RBMXL3|RBD|130	-0.76121314	-0.888968688
162-RAVER2-3|RBD|266	-0.473931188	-1.152003093
327-ZC3H8|Full|297	-0.836501268	-0.76121314
279-SUGP2-2|RBD|68	-0.915935735	-0.666576266
264-SNRPF|RBD|125	-1.321928095	-0.234465254
221-RRP7A|RBD|278	-0.971430848	-0.556393349
213-RC3H1-1|RBD|70	-0.621488377	-0.888968688
273-SRRT-4|RBD|242	-0.862496476	-0.621488377
193-RBM46|Full|533	-1	-0.473931188
141-PDCD11-2|RBD|316	-0.434402824	-1.029146346
295-TOE1|Full|510	-0.943416472	-0.49410907
217-RNF113B|Full|322	-0.666576266	-0.76121314
238-SETD1A-5|RBD|32	-1.058893689	-0.377069649
307-U2SURP-3|RBD|297	-1.029146346	-0.395928676
202-RBMS3|RBD|124	-0.713118852	-0.713118852
254-SLBP|Full|270	-0.785875195	-0.621488377
194-RBM47-1|RBD|190	-0.76121314	-0.64385619
116-MKRN2|Full|416	-0.358453971	-1.058893689
163-RBM10|Full|930	-2.556393349	1.13093087
78-IGF2BP1-3|RBD|104	-0.862496476	-0.514573173
314-YTHDC2-2|RBD|148	-1.089267338	-0.304006187
226-SAFB2-2|RBD|63	-0.785875195	-0.577766999
224-SAFB-3|RBD|481	-0.943416472	-0.434402824
252-SFRS1|Full|248	-0.689659879	-0.666576266
137-PARP12-4|RBD|53	-1	-0.340075442
301-TTC14|Full|770	-0.666576266	-0.666576266
251-SFPQ-3|RBD|220	-0.810966176	-0.514573173
36-EIF2D-3|RBD|98	-0.59946207	-0.736965594
234-SETD1A-1|RBD|126	-0.862496476	-0.454031631
84-KHSRP-3|RBD|50	-0.473931188	-0.862496476
268-SPEN-3|RBD|175	-0.810966176	-0.514573173
281-SYNCRIP|Full|527	-0.473931188	-0.862496476
243-SF1|Full|548	-0.535331733	-0.76121314
31-DND1-1|Full|353	-1.473931188	0.163498732
262-SNRPD3|RBD|124	-0.736965594	-0.535331733
204-RBMX2|RBD|320	-0.59946207	-0.666576266
142-PDCD11-3|RBD|155	-0.915935735	-0.358453971
232-SATB2|Full|365	-0.971430848	-0.286304185
237-SETD1A-4|RBD|300	-0.59946207	-0.64385619
284-TAF15-2|RBD|64	-0.888968688	-0.321928095
120-NIP7|Full|180	-0.377069649	-0.862496476
27-CSDE1|Full|767	-0.415037499	-0.810966176
294-TNRC6A|Full|161	-0.689659879	-0.514573173
246-SFMBT2-1|RBD|145	-0.621488377	-0.577766999
286-TEP1-2|RBD|685	-0.971430848	-0.234465254
136-PARP12-3|RBD|53	-0.736965594	-0.415037499
187-RBM39-1|RBD|92	-0.577766999	-0.577766999
288-THUMPD2|Full|473	-0.943416472	-0.217591435
255-SLTM|RBD|148	-0.713118852	-0.434402824
283-TAF15-1|RBD|91	-0.888968688	-0.268816758
276-SUGP1-1|RBD|107	-0.736965594	-0.415037499
303-U2AF1L4|Full|202	-0.556393349	-0.577766999
150-PNPT1-7|RBD|720	-0.836501268	-0.286304185
326-ZC3H4|RBD|131	-0.666576266	-0.454031631
335-ZFR2-2|RBD|272	-0.535331733	-0.577766999
337-ZGPAT|Full|502	-0.577766999	-0.535331733
139-PCBP4|Full|360	-0.415037499	-0.689659879
269-SRRM1|Full|904	-0.473931188	-0.64385619
231-SART3-2|RBD|57	-0.76121314	-0.358453971
339-ZNF638|Full|814	-0.621488377	-0.473931188
306-U2SURP-2|RBD|107	-0.577766999	-0.514573173
287-TEP1-3|RBD|41	-0.76121314	-0.340075442
97-LSM10|Full|123	-0.49410907	-0.577766999
144-PNPT1-1|RBD|152	-1.286304185	0.201633861
155-PRPF3|Full|683	-0.358453971	-0.713118852
188-RBM39-2|RBD|93	-0.454031631	-0.621488377
282-SYNJ1|RBD|158	-0.666576266	-0.377069649
33-DUS3L|Full|650	-0.556393349	-0.49410907
261-SNRPD2|Full|118	-0.268816758	-0.76121314
263-SNRPE|Full|92	-0.785875195	-0.234465254
315-YTHDC2-3|RBD|150	-0.454031631	-0.556393349
114-MEX3D-4|RBD|80	0	-1
277-SUGP1-2|RBD|69	-0.621488377	-0.358453971
333-ZFR-3|RBD|477	-0.535331733	-0.454031631
305-U2SURP-1|RBD|168	-0.234465254	-0.736965594
195-RBM47-2|RBD|94	-0.535331733	-0.434402824
169-RBM17|Full|401	-0.915935735	-0.029146346
325-ZC3H3|Full|335	-0.666576266	-0.286304185
321-ZC3H13|RBD|62	-0.454031631	-0.473931188
49-FUBP1-4|RBD|47	-0.736965594	-0.184424571
24-CPSF4|Full|244	-0.473931188	-0.454031631
250-SFPQ-2|RBD|71	-0.59946207	-0.321928095
249-SFPQ-1|RBD|154	-0.577766999	-0.340075442
320-ZC3H12A|Full|599	-0.556393349	-0.340075442
240-SETD1B-2|RBD|165	-0.415037499	-0.473931188
322-ZC3H14|Full|306	-0.556393349	-0.340075442
207-RBMY1A1|Full|356	-0.304006187	-0.577766999
313-YTHDC2-1|RBD|95	-0.556393349	-0.304006187
156-PRR3|RBD|186	-0.377069649	-0.473931188
253-SFRS6|Full|344	-0.377069649	-0.473931188
219-ROD1|Full|558	-0.736965594	-0.089267338
332-ZFR-2|RBD|274	-0.434402824	-0.377069649
260-SNRPD1|Full|119	-0.377069649	-0.434402824
330-ZFR-4|RBD|54	-0.49410907	-0.304006187
88-LARP1B|Full|201	0.22650853	-1
149-PNPT1-6|RBD|93	-0.434402824	-0.340075442
309-UNKL|Full|277	-0.395928676	-0.358453971
228-SAMD4A|Full|345	-0.49410907	-0.217591435
329-ZFP36L1|Full|338	-0.415037499	-0.268816758
86-KRR1|Full|381	-0.415037499	-0.251538767
266-SPEN-1|RBD|86	-0.577766999	-0.104697379
298-TRMT1|Full|659	-0.395928676	-0.251538767
229-SAMD4B|Full|694	-0.358453971	-0.286304185
123-NOVA1-1|RBD|92	-0.395928676	-0.234465254
82-KHSRP-1|RBD|103	0.028569152	-0.666576266
25-CPSF6|Full|478	-0.029146346	-0.577766999
299-TRMT2A|Full|625	-0.473931188	-0.13606155
103-MATR3|Full|847	-0.473931188	-0.120294234
26-CSDC2|Full|153	-0.168122759	-0.415037499
302-U2AF1|Full|240	-0.304006187	-0.286304185
291-TIPARP-1|RBD|146	-0.234465254	-0.286304185
96-LSM1|Full|133	-0.104697379	-0.415037499
3-ACO1-1|RBD|527	-0.200912694	-0.304006187
108-MEX3B-2|RBD|81	-2.473931188	1.959770155
145-PNPT1-2|RBD|84	-0.621488377	0.111031312
23-CPEB4|Full|322	-0.029146346	-0.454031631
135-PARP12-2|RBD|141	-0.76121314	0.286881148
117-MKRN3|Full|507	-0.689659879	0.214124805
336-ZFR2-3|RBD|668	-0.234465254	-0.234465254
285-TEP1-1|RBD|473	-0.251538767	-0.184424571
42-ENOX1|Full|643	0.310340121	-0.736965594
300-TRNAU1AP|Full|177	-0.268816758	-0.168122759
14-BICC1-1|RBD|178	-0.120294234	-0.286304185
51-FXR1-1|RBD|125	0.485426827	-0.888968688
89-LARP7-4|RBD|118	-0.915935735	0.526068812
91-LARP7-2|RBD|100	-0.089267338	-0.304006187
50-FUS|Full|526	-0.59946207	0.214124805
248-SFMBT2-3|RBD|97	-0.434402824	0.084064265
83-KHSRP-2|RBD|159	-0.234465254	-0.104697379
308-UHMK1|RBD|416	-0.234465254	-0.089267338
338-ZNF239|Full|458	-0.321928095	0
92-LARP7-3|RBD|180	0.176322773	-0.49410907
30-DNAJC17|Full|304	-0.200912694	-0.029146346
61-GRSF1-3|RBD|230	-0.120294234	-0.029146346
170-RBM18|RBD|188	-0.120294234	-0.01449957
331-ZFR-1|RBD|347	-0.152003093	0.028569152
43-ENOX2|Full|317	0.298658316	-0.434402824
203-RBMX|Full|391	-0.074000581	-0.029146346
209-RBMY1E-1|RBD|97	-0.01449957	0.014355293
67-HNRNPH3|RBD|344	0.056583528	-0.043943348
70-HNRNPL-1|RBD|123	-0.689659879	0.704871964
55-FXR2|Full|673	0.432959407	-0.340075442
256-SNRNP35|Full|251	0	0.111031312
244-SF3A1|Full|793	0.333423734	-0.200912694
12-APTX|Full|168	0.176322773	-0.029146346
87-LARP1|Full|53	0.189033824	0.042644337
197-RBM6|Full|601	0.097610797	0.150559677
71-HNRNPR|Full|636	-0.377069649	0.641546029
292-TIPARP-2|RBD|53	0.189033824	0.097610797
11-ANKRD17|RBD|103	0.298658316	-0.01449957
134-PARP12-1|RBD|221	-0.089267338	0.389566812
34-EIF2D-1|RBD|108	0.150559677	0.214124805
44-ESRP2|Full|717	0.632268215	-0.168122759
40-EIF4H|Full|228	0.678071905	-0.152003093
90-LARP7-1|RBD|114	0.250961574	0.275007047
104-MBNL2|RBD|370	0.910732662	-0.377069649
35-EIF2D-2|RBD|124	0.411426246	0.124328135
235-SETD1A-2|RBD|160	0.310340121	0.378511623
167-RBM15|Full|933	-1	1.757023247
41-ELAVL4|Full|366	0.321928095	0.475084883
293-TLR2|Full|784	0.575312331	0.464668267
74-HTATSF1|Full|755	0.584962501	0.545968369
54-FXR1-4|RBD|387	0.23878686	0.925999419
75-IGF2BP1-4|RBD|302	1.443606651	-0.251538767
245-SF3B4|Full|424	0.807354922	0.432959407
218-RNPC3|Full|261	0.475084883	0.815575429
76-IGF2BP1-1|RBD|172	0.298658316	1
94-LENG9-2|RBD|53	0.565597176	0.748461233
205-RBMXL2|RBD|390	0.678071905	0.678071905
39-EIF3G|Full|320	0.584962501	0.815575429
110-MEX3B-4|RBD|67	0.22650853	1.189033824
171-RBM19|Full|960	0.86393845	0.695993813
164-RBM12|Full|932	1.531069493	0.310340121
4-ACO1-2|RBD|145	0.650764559	1.201633861
SND1|Full|910	0.86393845	1.021479727
22-CNOT4-3|RBD|213	0.992768431	0.97819563
173-RBM20-2|RBD|211	0.704871964	1.327687364
53-FXR1-3|RBD|187	2.313245852	0.111031312
166-RBM14|Full|669	0.432959407	2.010779839
28-DDX43|Full|648	1.521050737	1.09085343
IGF2BP1|Full|577	1.316145742	1.35614381
19-CIRBP|Full|172	1.416839742	1.275007047
259-SNRPB|Full|231	1.269033146	1.618238656
20-CNOT4-1|RBD|114	1.875780063	1.280956314
172-RBM20-1|RBD|110	1.66448284	1.570462931
290-TIA1|Full|214	1.700439718	1.769771739
16-BOLL|Full|283	1.687060688	1.941106311
230-SART3-1|RBD|200	1.748461233	1.906890596
FXR1|Full|621	1.765534746	2.10433666
190-RBM41|Full|413	2.192194165	1.879705766
304-U2AF2|Full|471	2.025028794	2.080657663
IGF2BP3|Full|579	2.35614381	1.815575429
198-RBM7|Full|266	2.077242999	2.13422094
158-PTBP1|Full|531	3.153805336	1.718087584
68-HNRNPK|Full|463	3.459431619	1.744161096
159-PTBP2|Full|532	3.025028794	2.49057013
IGF2BP2|Full|599	3.845991771	3.392317423
YTHDF1|Full|559	3.930737338	4.64038956
192-RBM45|Full|474	5.167518504	4.77925972
YTHDF2|Full|579	5.036942845	5.256633295
YTHDF3|Full|585	5.827310944	5.21023299
YTH-DF3|yth-domain|195	5.655924213	5.836681593
YTH-DF1|yth-domain|196	6.761152275	5.792595103
YTH-DC1|yth-domain|163	6.668459557	5.98572811
YTH-DF2|yth-domain|195	6.60496087	6.45318831
YTH-DC2|yth-domain|143	6.780047576	6.806710718
